timestamp_iso,block,trial,marker,is_deviant,soa_s,tone_dur_s,std_partials_hz,dev_partials_hz
2025-09-12T14:58:24.970,1,1,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:25.484,1,2,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:25.999,1,3,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:26.511,1,4,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:27.026,1,5,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:27.540,1,6,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:28.054,1,7,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:28.567,1,8,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:29.082,1,9,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:29.595,1,10,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:35.025,2,1,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:35.540,2,2,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:36.053,2,3,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:36.573,2,4,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:37.088,2,5,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:37.609,2,6,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:38.123,2,7,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:38.636,2,8,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:39.150,2,9,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:39.664,2,10,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:41.004,3,1,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:41.519,3,2,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:42.032,3,3,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:42.539,3,4,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:43.053,3,5,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:43.565,3,6,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:44.080,3,7,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:44.595,3,8,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:45.107,3,9,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T14:58:45.623,3,10,1,0,0.5,0.075,500;1000;1500,550;1100;1650
