timestamp_iso,block,trial,marker,is_deviant,soa_s,tone_dur_s,std_partials_hz,dev_partials_hz
2025-09-12T16:00:38.657,1,1,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:39.171,1,2,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:39.685,1,3,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:40.198,1,4,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:40.706,1,5,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:41.213,1,6,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:41.726,1,7,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:42.241,1,8,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:42.755,1,9,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:43.268,1,10,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:43.779,1,11,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:44.295,1,12,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:44.813,1,13,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:45.331,1,14,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:45.847,1,15,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:46.365,1,16,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:46.882,1,17,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:47.393,1,18,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:47.907,1,19,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:00:48.421,1,20,1,0,0.5,0.075,500;1000;1500,550;1100;1650
