timestamp_iso,block,trial,marker,is_deviant,soa_s,tone_dur_s,std_partials_hz,dev_partials_hz
2025-09-12T16:16:19.591,1,1,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:20.105,1,2,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:20.612,1,3,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:21.126,1,4,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:21.634,1,5,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:22.146,1,6,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:22.660,1,7,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:23.181,1,8,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:23.695,1,9,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:24.209,1,10,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:24.723,1,11,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:25.236,1,12,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:25.745,1,13,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:26.265,1,14,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:26.779,1,15,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:27.286,1,16,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:27.800,1,17,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:28.313,1,18,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:28.827,1,19,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:29.341,1,20,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:29.855,1,21,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:30.369,1,22,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:30.883,1,23,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:31.390,1,24,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:31.904,1,25,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:32.417,1,26,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:32.931,1,27,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:33.446,1,28,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:33.959,1,29,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:34.473,1,30,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:34.987,1,31,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:35.501,1,32,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:36.015,1,33,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:36.529,1,34,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:37.039,1,35,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:37.550,1,36,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:38.063,1,37,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:38.577,1,38,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:39.091,1,39,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:39.605,1,40,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:40.120,1,41,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:40.633,1,42,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:41.147,1,43,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:41.661,1,44,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:42.174,1,45,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:42.688,1,46,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:43.202,1,47,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:43.716,1,48,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:44.230,1,49,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:44.744,1,50,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:45.258,1,51,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:45.771,1,52,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:46.286,1,53,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:46.800,1,54,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:47.314,1,55,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:47.827,1,56,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:48.341,1,57,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:48.847,1,58,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:49.362,1,59,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:49.875,1,60,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:50.389,1,61,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:50.904,1,62,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:51.422,1,63,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:51.931,1,64,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:52.446,1,65,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:52.959,1,66,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:53.473,1,67,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:53.987,1,68,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:54.500,1,69,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:55.015,1,70,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:55.530,1,71,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:56.042,1,72,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:56.556,1,73,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:57.070,1,74,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:57.585,1,75,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:58.098,1,76,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:58.612,1,77,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:59.119,1,78,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:16:59.633,1,79,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:00.146,1,80,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:00.660,1,81,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:01.168,1,82,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:01.682,1,83,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:02.196,1,84,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:02.707,1,85,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:03.223,1,86,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:17:03.736,1,87,1,0,0.5,0.075,500;1000;1500,550;1100;1650
