timestamp_iso,block,trial,marker,is_deviant,soa_s,tone_dur_s,std_partials_hz,dev_partials_hz
2025-09-12T16:15:48.168,1,1,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:48.676,1,2,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:49.185,1,3,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:49.709,1,4,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:50.224,1,5,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:50.745,1,6,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:51.259,1,7,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:51.773,1,8,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:52.287,1,9,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:52.801,1,10,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:53.314,1,11,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:53.828,1,12,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:54.336,1,13,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:54.850,1,14,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:55.363,1,15,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:55.877,1,16,2,1,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:56.390,1,17,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:56.904,1,18,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:57.418,1,19,1,0,0.5,0.075,500;1000;1500,550;1100;1650
2025-09-12T16:15:57.933,1,20,1,0,0.5,0.075,500;1000;1500,550;1100;1650
