timestamp_iso,trial_index,prime,target,condition,prime_time_s,isi_s,target_time_s,resp_window_s,resp_key,correct,rt_ms
2025-10-03T06:16:46.145,55,plate,rock,unrelated,0.2,1.012,0.2,1.444,left,1,1029.78
2025-10-03T06:16:48.958,56,candle,mold,unrelated,0.2,0.974,0.2,1.586,right,0,914.28
2025-10-03T06:16:51.756,57,cup,stand,unrelated,0.2,0.992,0.2,1.566,,0,
2025-10-03T06:16:54.386,58,bowl,short,unrelated,0.2,0.983,0.2,1.412,left,1,1181.36
2025-10-03T06:16:57.217,59,coffee,tea,related,0.2,1.084,0.2,1.505,right,1,446.81
2025-10-03T06:16:59.949,60,table,sour,unrelated,0.2,1.038,0.2,1.451,left,1,980.29
2025-10-03T06:17:02.680,61,cup,end,unrelated,0.2,1.028,0.2,1.478,left,1,863.87
2025-10-03T06:17:05.377,62,car,car,related,0.2,1.052,0.2,1.41,right,1,713.27
2025-10-03T06:17:08.091,63,fan,small,unrelated,0.2,0.932,0.2,1.559,left,1,1413.26
2025-10-03T06:17:10.706,64,clock,shoe,unrelated,0.2,0.92,0.2,1.455,left,1,1279.85
2025-10-03T06:17:13.403,65,glove,glove,related,0.2,0.996,0.2,1.47,right,1,829.49
2025-10-03T06:17:16.135,66,fan,leap,unrelated,0.2,0.952,0.2,1.533,,0,
2025-10-03T06:17:18.949,67,page,book,related,0.2,0.996,0.2,1.589,,0,
2025-10-03T06:17:21.596,68,cloud,wide,unrelated,0.2,0.976,0.2,1.442,,0,
2025-10-03T06:17:24.327,69,jog,run,related,0.2,1.032,0.2,1.454,,0,
2025-10-03T06:17:27.075,70,ladder,cat,unrelated,0.2,0.935,0.2,1.564,,0,
2025-10-03T06:17:29.673,71,alive,dead,related,0.2,0.937,0.2,1.423,right,1,696.81
2025-10-03T06:17:32.437,72,pen,paper,related,0.2,0.969,0.2,1.554,,0,
2025-10-03T06:17:35.151,73,lamp,less,unrelated,0.2,0.932,0.2,1.552,,0,
2025-10-03T06:17:37.816,74,stone,leg,unrelated,0.2,0.913,0.2,1.521,left,1,897.12
2025-10-03T06:17:40.513,75,full,empty,related,0.2,0.93,0.2,1.533,right,1,797.62
2025-10-03T06:17:43.295,76,shovel,spade,related,0.2,0.96,0.2,1.583,right,1,796.11
2025-10-03T06:17:45.975,77,curtain,cover,related,0.2,0.949,0.2,1.494,right,1,1112.76
2025-10-03T06:17:48.656,78,coin,peace,unrelated,0.2,0.959,0.2,1.481,left,1,1080.4
2025-10-03T06:17:51.287,79,string,pond,unrelated,0.2,0.934,0.2,1.449,right,0,1196.97
2025-10-03T06:17:54.034,80,chain,freeze,unrelated,0.2,0.937,0.2,1.56,right,0,792.73
2025-10-03T06:17:56.699,81,mom,dad,related,0.2,0.906,0.2,1.523,right,1,397.6
2025-10-03T06:17:59.446,82,stove,cook,related,0.2,0.979,0.2,1.539,right,1,730.1
2025-10-03T06:18:02.128,83,fresh,stale,related,0.2,0.988,0.2,1.454,,0,
2025-10-03T06:18:04.991,84,plate,dance,unrelated,0.2,1.062,0.2,1.566,left,1,1131.0
2025-10-03T06:18:07.706,85,rich,wealthy,related,0.2,1.029,0.2,1.451,,0,
2025-10-03T06:18:10.453,86,step,stair,related,0.2,1.087,0.2,1.423,right,1,713.57
2025-10-03T06:18:13.102,87,hop,skip,related,0.2,0.907,0.2,1.508,right,1,698.09
2025-10-03T06:18:15.799,88,friend,enemy,related,0.2,0.916,0.2,1.542,right,1,713.67
2025-10-03T06:18:18.596,89,lamp,mountain,unrelated,0.2,1.024,0.2,1.543,left,1,1113.25
2025-10-03T06:18:21.311,90,stone,mouth,unrelated,0.2,0.905,0.2,1.566,left,1,845.62
2025-10-03T06:18:24.008,91,bowl,slow,unrelated,0.2,0.916,0.2,1.536,left,1,1262.92
2025-10-03T06:18:26.673,92,mud,dirt,related,0.2,1.005,0.2,1.421,right,1,731.66
2025-10-03T06:18:29.453,93,sand,desert,related,0.2,1.008,0.2,1.531,right,1,912.47
2025-10-03T06:18:32.334,94,open,shut,related,0.2,1.075,0.2,1.569,right,1,863.66
2025-10-03T06:18:35.000,95,salt,water,related,0.2,0.94,0.2,1.496,right,1,763.46
2025-10-03T06:18:37.663,96,table,cold,unrelated,0.2,0.918,0.2,1.512,left,1,763.3
2025-10-03T06:18:40.360,97,leaf,nail,unrelated,0.2,1.055,0.2,1.406,left,1,1065.01
2025-10-03T06:18:43.092,98,coin,smile,unrelated,0.2,0.94,0.2,1.555,left,1,980.35
2025-10-03T06:18:45.807,99,true,lie,related,0.2,1.07,0.2,1.412,right,1,498.17
2025-10-03T06:18:48.472,100,bread,boat,unrelated,0.2,0.946,0.2,1.49,left,1,747.23
2025-10-03T06:18:51.251,101,wet,dry,related,0.2,0.972,0.2,1.574,right,1,447.83
2025-10-03T06:18:53.998,102,near,far,related,0.2,0.964,0.2,1.551,left,0,880.2
2025-10-03T06:18:56.663,103,candle,him,unrelated,0.2,0.95,0.2,1.464,left,1,694.32
