timestamp_iso,trial_index,prime,target,condition,prime_time_s,isi_s,target_time_s,resp_window_s,resp_key,correct,rt_ms
2025-10-23T07:23:48.279,48,ბეკონი,ოქრო,unrelated,0.2,1.021,0.2,1.503,left,1,863.85
2025-10-23T07:23:51.143,49,კბილი,ოთკუთხედი,unrelated,0.2,1.05,0.2,1.579,left,1,930.19
2025-10-23T07:23:54.007,50,კუდი,პიანინო,unrelated,0.2,1.065,0.2,1.566,left,1,745.93
2025-10-23T07:23:56.672,51,ნოხი,ხმაურიანი,unrelated,0.2,1.011,0.2,1.425,left,1,913.14
2025-10-23T07:23:59.418,52,ცხენი,კაბა,unrelated,0.2,0.999,0.2,1.501,left,1,713.44
2025-10-23T07:24:02.183,53,ექიმი,ექთანი,related,0.2,0.999,0.2,1.539,right,1,762.15
2025-10-23T07:24:04.865,54,ლარნაკი,დამნაშავე,unrelated,0.2,0.964,0.2,1.493,left,1,780.3
2025-10-23T07:24:07.513,55,მანქანა,დიდი,unrelated,0.2,0.907,0.2,1.512,left,1,731.75
2025-10-23T07:24:10.160,56,აღმართი,დელფინი,unrelated,0.2,0.932,0.2,1.474,left,1,947.25
2025-10-23T07:24:12.926,57,არწივი,ყვავი,related,0.2,1.065,0.2,1.48,right,1,1112.73
2025-10-23T07:24:15.721,58,ლექსი,მოთხრობა,related,0.2,0.996,0.2,1.564,right,1,830.37
2025-10-23T07:24:18.504,59,ქოთანი,გვიან,unrelated,0.2,1.043,0.2,1.51,left,1,814.12
2025-10-23T07:24:21.219,60,მატარებელი,ვაგონი,related,0.2,0.917,0.2,1.561,right,1,945.91
2025-10-23T07:24:23.964,61,მამიდა,ზედა,unrelated,0.2,0.915,0.2,1.58,left,1,712.83
2025-10-23T07:24:26.529,62,ჭიქა,თეფში,related,0.2,0.912,0.2,1.415,right,1,830.19
2025-10-23T07:24:29.344,63,ფოთოლი,ხე,related,0.2,0.993,0.2,1.583,right,1,1198.25
2025-10-23T07:24:31.909,64,ფეხსაცმელი,კარაქი,unrelated,0.2,0.93,0.2,1.404,left,1,880.36
2025-10-23T07:24:34.571,65,დანა,ყვავი,unrelated,0.2,0.972,0.2,1.46,left,1,845.86
2025-10-23T07:24:37.436,66,ჭიანჭველა,ვარდი,unrelated,0.2,1.045,0.2,1.587,left,1,814.39
2025-10-23T07:24:40.167,67,ლუწი,კენტი,related,0.2,0.917,0.2,1.575,right,1,513.9
2025-10-23T07:24:42.848,68,კატა,თათი,related,0.2,0.978,0.2,1.463,right,1,1045.17
2025-10-23T07:24:45.529,69,პატარა,დიდი,related,0.2,0.984,0.2,1.454,right,1,745.11
2025-10-23T07:24:48.260,70,ვერცხლი,ოქრო,related,0.2,0.904,0.2,1.582,right,1,579.78
2025-10-23T07:24:50.891,71,თასი,მდინარე,unrelated,0.2,0.916,0.2,1.465,left,1,696.14
2025-10-23T07:24:53.605,72,საწვიმარი,ქოლგა,related,0.2,1.021,0.2,1.452,right,1,796.24
2025-10-23T07:24:56.287,73,ბრინჯაო,ვერცხლი,related,0.2,1.019,0.2,1.42,right,1,663.35
2025-10-23T07:24:59.085,74,სახაზავი,მოთხრობა,unrelated,0.2,0.999,0.2,1.567,left,1,929.49
2025-10-23T07:25:01.748,75,დგომა,ჯდომა,related,0.2,0.932,0.2,1.504,right,1,796.36
2025-10-23T07:25:04.363,76,მინუსი,პლუსი,related,0.2,0.94,0.2,1.441,right,1,511.29
2025-10-23T07:25:07.027,77,ეზო,ბაღი,related,0.2,0.9,0.2,1.525,right,1,962.37
2025-10-23T07:25:09.824,78,საზამთრო,ნესვი,related,0.2,0.985,0.2,1.572,right,1,396.64
2025-10-23T07:25:12.607,79,საათი,დრო,related,0.2,1.03,0.2,1.53,right,1,663.38
2025-10-23T07:25:15.353,80,ვარდი,ია,related,0.2,1.035,0.2,1.473,right,1,646.77
2025-10-23T07:25:18.035,81,თვითმფრინავი,ექთანი,unrelated,0.2,0.946,0.2,1.508,left,1,844.33
2025-10-23T07:25:20.816,82,წრე,ოთკუთხედი,related,0.2,0.971,0.2,1.571,right,1,878.42
2025-10-23T07:25:23.530,83,მაგიდა,სკამი,related,0.2,1.007,0.2,1.475,right,1,530.28
2025-10-23T07:25:26.326,84,ყუთი,წყარო,unrelated,0.2,1.076,0.2,1.484,left,1,728.86
2025-10-23T07:25:29.157,85,დაკვრა,პიანინო,related,0.2,1.052,0.2,1.542,right,1,895.52
2025-10-23T07:25:31.889,86,ადრე,გვიან,related,0.2,1.041,0.2,1.449,right,1,730.46
2025-10-23T07:25:34.704,87,მინა,ორი,unrelated,0.2,1.079,0.2,1.501,left,1,645.64
2025-10-23T07:25:37.467,88,ძაფი,მთვარე,unrelated,0.2,0.967,0.2,1.543,left,1,759.93
2025-10-23T07:25:40.164,89,მაკრატელი,ჭრა,related,0.2,0.925,0.2,1.536,right,1,845.65
2025-10-23T07:25:42.831,90,ხურდა,ფული,related,0.2,0.91,0.2,1.529,right,1,579.84
2025-10-23T07:25:45.527,91,ჭიანჭველა,ჭრიჭინა,related,0.2,0.987,0.2,1.475,right,1,645.67
2025-10-23T07:25:48.275,92,სკოლა,მსხალი,unrelated,0.2,1.075,0.2,1.442,left,1,946.51
2025-10-23T07:25:51.105,93,შარვალი,კაბა,related,0.2,1.096,0.2,1.508,right,1,861.23
2025-10-23T07:25:53.936,94,ცხვირი,ტუჩები,related,0.2,1.05,0.2,1.533,right,1,1014.15
2025-10-23T07:25:56.566,95,მგელი,მელა,related,0.2,0.909,0.2,1.493,right,1,747.42
2025-10-23T07:25:59.400,96,მამა,დედა,related,0.2,1.011,0.2,1.584,right,1,546.23
2025-10-23T07:26:02.280,97,წვენი,სასმელი,related,0.2,1.05,0.2,1.595,right,1,746.14
2025-10-23T07:26:05.093,98,ვეფხვი,ლომი,related,0.2,1.05,0.2,1.525,right,1,529.49
2025-10-23T07:26:07.690,99,გველი,ხვლიკი,related,0.2,0.933,0.2,1.439,right,1,678.65
2025-10-23T07:26:10.505,100,ცხვარი,პლანეტა,unrelated,0.2,1.089,0.2,1.484,left,1,779.33
2025-10-23T07:26:13.353,101,იხვი,ბატი,related,0.2,1.086,0.2,1.523,right,1,663.97
2025-10-23T07:26:16.216,102,ხაჭაპური,შარფი,unrelated,0.2,1.069,0.2,1.554,left,1,680.55
2025-10-23T07:26:19.048,103,ბოლოკი,მთა,unrelated,0.2,1.047,0.2,1.56,left,1,662.4
2025-10-23T07:26:21.795,104,თვითმფრინავი,ფრენა,related,0.2,1.099,0.2,1.406,right,1,796.38
2025-10-23T07:26:24.476,105,გახსნა,დახურვა,related,0.2,0.937,0.2,1.512,right,1,781.97
2025-10-23T07:26:27.208,106,ნემსი,ძაფი,related,0.2,1.052,0.2,1.433,right,1,445.49
2025-10-23T07:26:29.772,107,ზვიგენი,დელფინი,related,0.2,0.919,0.2,1.404,right,1,1027.94
2025-10-23T07:26:32.618,108,ზარი,წყურვილი,unrelated,0.2,1.052,0.2,1.55,left,1,944.25
2025-10-23T07:26:35.367,109,ნათურა,ძროხა,unrelated,0.2,1.027,0.2,1.481,left,1,911.74
2025-10-23T07:26:38.081,110,ფუნჯი,საკეტი,unrelated,0.2,0.933,0.2,1.534,left,1,1361.75
2025-10-23T07:26:40.812,111,აბრეშუმი,ნაჭერი,related,0.2,0.975,0.2,1.525,right,1,961.81
2025-10-23T07:26:43.461,112,პოლიცია,დამნაშავე,related,0.2,0.901,0.2,1.511,right,1,746.15
2025-10-23T07:26:46.206,113,წიგნი,წვიმა,unrelated,0.2,0.963,0.2,1.558,left,1,747.92
2025-10-23T07:26:48.887,114,ჩუმი,ხმაურიანი,related,0.2,1.019,0.2,1.419,right,1,946.5
2025-10-23T07:26:51.469,115,ნაქსოვი,კერვა,related,0.2,0.926,0.2,1.425,right,1,980.37
2025-10-23T07:26:54.234,116,თეთრი,შავი,related,0.2,1.009,0.2,1.529,right,1,463.48
2025-10-23T07:26:56.933,117,ალქაჯი,ჯადოქარი,related,0.2,0.947,0.2,1.525,right,1,829.39
2025-10-23T07:26:59.596,118,ბაჭია,კურდღელი,related,0.2,0.904,0.2,1.519,right,1,529.59
2025-10-23T07:27:02.260,119,ფერი,წითელი,related,0.2,0.959,0.2,1.467,right,1,1213.63
