timestamp_iso,trial_index,item_file,item_type,marker_code,rt_ms,button,correct
2025-09-07T08:21:29.500,80,item_06.jpg,probe,6,469.02,left,1
2025-09-07T08:21:31.848,81,item_04.jpg,irrelevant,4,450.96,left,1
2025-09-07T08:21:33.297,82,item_04.jpg,irrelevant,4,407.00,left,1
2025-09-07T08:21:34.796,83,item_06.jpg,probe,6,455.13,left,1
2025-09-07T08:21:36.294,84,item_04.jpg,irrelevant,4,447.09,left,1
2025-09-07T08:21:37.759,85,item_04.jpg,irrelevant,4,414.41,left,1
2025-09-07T08:21:39.308,86,item_01.jpg,irrelevant,1,501.78,left,1
2025-09-07T08:21:40.808,87,item_04.jpg,irrelevant,4,455.38,left,1
2025-09-07T08:21:42.238,88,item_06.jpg,probe,6,394.61,left,1
2025-09-07T08:21:43.688,89,item_05.jpg,irrelevant,5,397.14,left,1
2025-09-07T08:21:45.336,90,item_05.jpg,irrelevant,5,607.36,left,1
2025-09-07T08:21:46.935,91,item_02.jpg,target,2,551.05,right,1
2025-09-07T08:21:48.466,92,item_02.jpg,target,2,491.19,right,1
2025-09-07T08:21:49.899,93,item_05.jpg,irrelevant,5,391.14,left,1
2025-09-07T08:21:51.446,94,item_04.jpg,irrelevant,4,510.45,left,1
2025-09-07T08:21:53.179,95,item_02.jpg,target,2,681.96,right,1
2025-09-07T08:21:54.678,96,item_01.jpg,irrelevant,1,453.23,left,1
2025-09-07T08:21:56.125,97,item_01.jpg,irrelevant,1,407.23,left,1
2025-09-07T08:21:57.559,98,item_01.jpg,irrelevant,1,379.89,left,1
2025-09-07T08:21:59.041,99,item_04.jpg,irrelevant,4,432.12,left,1
2025-09-07T08:22:00.440,100,item_01.jpg,irrelevant,1,358.42,left,1
2025-09-07T08:22:01.922,101,item_04.jpg,irrelevant,4,439.32,left,1
2025-09-07T08:22:03.521,102,item_01.jpg,irrelevant,1,550.47,left,1
2025-09-07T08:22:04.969,103,item_01.jpg,irrelevant,1,397.74,left,1
2025-09-07T08:22:06.333,104,item_03.jpg,irrelevant,3,320.08,left,1
2025-09-07T08:22:07.800,105,item_03.jpg,irrelevant,3,420.94,left,1
2025-09-07T08:22:09.198,106,item_04.jpg,irrelevant,4,357.16,left,1
2025-09-07T08:22:10.798,107,item_02.jpg,target,2,550.39,right,1
2025-09-07T08:22:12.279,108,item_06.jpg,probe,6,443.66,left,1
2025-09-07T08:22:13.743,109,item_05.jpg,irrelevant,5,426.08,left,1
2025-09-07T08:22:15.210,110,item_06.jpg,probe,6,422.85,left,1
2025-09-07T08:22:16.741,111,item_05.jpg,irrelevant,5,486.68,left,1
2025-09-07T08:22:18.456,112,item_05.jpg,irrelevant,5,669.43,left,1
2025-09-07T08:22:19.989,113,item_01.jpg,irrelevant,1,484.46,left,1
2025-09-07T08:22:21.537,114,item_02.jpg,target,2,508.62,right,1
2025-09-07T08:22:23.102,115,item_04.jpg,irrelevant,4,515.24,left,1
2025-09-07T08:22:24.651,116,item_05.jpg,irrelevant,5,506.63,left,1
2025-09-07T08:22:26.235,117,item_03.jpg,irrelevant,3,527.52,left,1
2025-09-07T08:22:27.848,118,item_02.jpg,target,2,563.90,right,1
2025-09-07T08:22:29.448,119,item_02.jpg,target,2,550.90,right,1
2025-09-07T08:22:30.879,120,item_01.jpg,irrelevant,1,386.29,left,1
2025-09-07T08:22:33.527,121,item_01.jpg,irrelevant,1,480.44,left,1
2025-09-07T08:22:34.993,122,item_04.jpg,irrelevant,4,420.73,left,1
2025-09-07T08:22:36.525,123,item_02.jpg,target,2,484.98,right,1
2025-09-07T08:22:38.057,124,item_06.jpg,probe,6,488.48,left,1
2025-09-07T08:22:39.588,125,item_02.jpg,target,2,488.43,right,1
2025-09-07T08:22:41.170,126,item_06.jpg,probe,6,539.85,left,1
2025-09-07T08:22:42.603,127,item_04.jpg,irrelevant,4,392.71,left,1
2025-09-07T08:22:43.869,128,item_03.jpg,irrelevant,3,213.66,left,1
2025-09-07T08:22:45.317,129,item_05.jpg,irrelevant,5,403.36,left,1
2025-09-07T08:22:46.799,130,item_06.jpg,probe,6,444.26,left,1
2025-09-07T08:22:48.431,131,item_06.jpg,probe,6,584.10,left,1
2025-09-07T08:22:50.012,132,item_02.jpg,target,2,527.79,right,1
2025-09-07T08:22:51.594,133,item_05.jpg,irrelevant,5,528.77,left,1
2025-09-07T08:22:53.028,134,item_03.jpg,irrelevant,3,392.24,left,1
2025-09-07T08:22:54.442,135,item_05.jpg,irrelevant,5,376.06,left,1
2025-09-07T08:22:55.924,136,item_05.jpg,irrelevant,5,436.68,left,1
2025-09-07T08:22:57.372,137,item_05.jpg,irrelevant,5,402.75,left,1
2025-09-07T08:22:58.921,138,item_02.jpg,target,2,497.10,right,1
2025-09-07T08:23:00.404,139,item_01.jpg,irrelevant,1,430.68,left,1
2025-09-07T08:23:01.902,140,item_02.jpg,target,2,458.91,left,0
2025-09-07T08:23:03.502,141,item_02.jpg,target,2,558.14,right,1
2025-09-07T08:23:04.984,142,item_02.jpg,target,2,435.81,right,1
2025-09-07T08:23:06.532,143,item_03.jpg,irrelevant,3,508.08,left,1
