timestamp_iso,trial_index,brand,target,prime_time_s,target_time_s,resp_window_s,resp_key,rt_ms_from_target
2025-12-04T06:24:48.786,68,instagram,ვაკანსია,0.16,0.16,1.5,right,281.75
2025-12-04T06:24:51.685,69,instagram,პოსტები,0.16,0.16,1.5,right,1329.64
2025-12-04T06:24:54.615,70,linkedin,მეგობრები,0.16,0.16,1.5,,
2025-12-04T06:24:57.545,71,linkedin,სთორი,0.16,0.16,1.5,left,1062.73
2025-12-04T06:25:00.477,72,linkedin,ვიოლინო,0.16,0.16,1.5,left,947.01
2025-12-04T06:25:03.390,73,instagram,მექსიკა,0.16,0.16,1.5,right,1381.66
2025-12-04T06:25:06.338,74,linkedin,ფანჯარა,0.16,0.16,1.5,,
2025-12-04T06:25:09.269,75,linkedin,ფოტოები,0.16,0.16,1.5,left,1514.23
2025-12-04T06:25:12.168,76,instagram,ლურჯი,0.16,0.16,1.5,,
2025-12-04T06:25:15.080,77,instagram,მეგობრები,0.16,0.16,1.5,right,730.16
2025-12-04T06:25:17.995,78,linkedin,ინფლუენსერი,0.16,0.16,1.5,left,381.08
2025-12-04T06:25:20.908,79,instagram,ვიოლინო,0.16,0.16,1.5,right,297.06
2025-12-04T06:25:23.839,80,linkedin,დერეფანი,0.16,0.16,1.5,,
2025-12-04T06:25:26.788,81,linkedin,სამსახური,0.16,0.16,1.5,right,478.81
2025-12-04T06:25:29.717,82,linkedin,სელფი,0.16,0.16,1.5,left,780.91
2025-12-04T06:25:32.648,83,linkedin,ჩატი,0.16,0.16,1.5,right,963.12
2025-12-04T06:25:35.579,84,linkedin,სამსახური,0.16,0.16,1.5,right,280.94
2025-12-04T06:25:38.510,85,linkedin,ნეთვორქინგი,0.16,0.16,1.5,right,481.78
2025-12-04T06:25:41.423,86,instagram,ბალიში,0.16,0.16,1.5,,
2025-12-04T06:25:44.323,87,instagram,ლაქტოზა,0.16,0.16,1.5,right,232.91
2025-12-04T06:25:47.253,88,linkedin,აგური,0.16,0.16,1.5,,
2025-12-04T06:25:50.167,89,instagram,სთორი,0.16,0.16,1.5,,
2025-12-04T06:25:53.080,90,instagram,ეიჩარი,0.16,0.16,1.5,right,313.3
2025-12-04T06:25:55.996,91,linkedin,კარიერა,0.16,0.16,1.5,right,330.8
2025-12-04T06:25:58.926,92,linkedin,ვაკანსია,0.16,0.16,1.5,right,330.82
2025-12-04T06:26:01.855,93,linkedin,ლაქტოზა,0.16,0.16,1.5,left,832.58
2025-12-04T06:26:04.769,94,instagram,დერეფანი,0.16,0.16,1.5,right,413.92
2025-12-04T06:26:07.717,95,linkedin,რილსები,0.16,0.16,1.5,,
2025-12-04T06:26:10.648,96,linkedin,ინფლუენსერი,0.16,0.16,1.5,left,927.76
2025-12-04T06:26:13.578,97,linkedin,რეკლამა,0.16,0.16,1.5,right,812.52
2025-12-04T06:26:16.494,98,instagram,სელფი,0.16,0.16,1.5,right,497.03
2025-12-04T06:26:19.409,99,instagram,კარიერა,0.16,0.16,1.5,right,746.57
2025-12-04T06:26:22.306,100,instagram,ბალიში,0.16,0.16,1.5,left,863.69
2025-12-04T06:26:25.253,101,linkedin,მეგობრები,0.16,0.16,1.5,left,1213.59
2025-12-04T06:26:28.183,102,linkedin,ლაიქი,0.16,0.16,1.5,right,1146.58
2025-12-04T06:26:31.083,103,instagram,ფანჯარა,0.16,0.16,1.5,left,746.15
2025-12-04T06:26:33.995,104,instagram,წიგნი,0.16,0.16,1.5,right,780.01
2025-12-04T06:26:36.893,105,instagram,მეგობრები,0.16,0.16,1.5,right,263.92
2025-12-04T06:26:39.806,106,instagram,ვაკანსია,0.16,0.16,1.5,left,296.59
2025-12-04T06:26:42.738,107,linkedin,მთები,0.16,0.16,1.5,right,278.47
2025-12-04T06:26:45.653,108,linkedin,სივი,0.16,0.16,1.5,left,181.46
2025-12-04T06:26:48.582,109,linkedin,სელფი,0.16,0.16,1.5,right,215.46
2025-12-04T06:26:51.480,110,instagram,სანთელი,0.16,0.16,1.5,right,281.15
2025-12-04T06:26:54.411,111,linkedin,კონტაქტი,0.16,0.16,1.5,,
2025-12-04T06:26:57.325,112,instagram,სამსახური,0.16,0.16,1.5,right,397.15
2025-12-04T06:27:00.240,113,instagram,ფოტოები,0.16,0.16,1.5,left,679.09
2025-12-04T06:27:03.152,114,instagram,ვიოლინო,0.16,0.16,1.5,right,480.31
2025-12-04T06:27:06.068,115,linkedin,აგური,0.16,0.16,1.5,left,313.33
2025-12-04T06:27:08.965,116,instagram,აგური,0.16,0.16,1.5,right,267.84
2025-12-04T06:27:11.879,117,instagram,რილსები,0.16,0.16,1.5,,
2025-12-04T06:27:14.793,118,instagram,ვიდეოები,0.16,0.16,1.5,,
2025-12-04T06:27:17.708,119,instagram,ნეთვორქინგი,0.16,0.16,1.5,left,779.17
