timestamp_iso,global_trial,block,trial_in_block,stimulus,center_dir,congruent,correct_key,resp_key,correct,rt_ms,stim_time_s,isi_s
2025-10-10T08:41:55.681,61,2,11,>><>>,<,0,lshift,slash,0,632.82,0.2,1.249
2025-10-10T08:41:57.496,62,2,12,<<<<<,<,1,lshift,lshift,1,466.25,0.2,1.266
2025-10-10T08:41:59.295,63,2,13,<<><<,>,0,slash,slash,1,414.55,0.2,1.258
2025-10-10T08:42:01.193,64,2,14,>><>>,<,0,lshift,slash,0,550.31,0.2,1.363
2025-10-10T08:42:03.192,65,2,15,>><>>,<,0,lshift,lshift,1,616.89,0.2,1.382
2025-10-10T08:42:04.923,66,2,16,<<><<,>,0,slash,lshift,0,383.16,0.2,1.213
2025-10-10T08:42:06.688,67,2,17,<<<<<,<,1,lshift,lshift,1,431.83,0.2,1.359
2025-10-10T08:42:08.537,68,2,18,>><>>,<,0,lshift,lshift,1,450.03,0.2,1.202
2025-10-10T08:42:10.418,69,2,19,>><>>,<,0,lshift,lshift,1,564.57,0.2,1.365
2025-10-10T08:42:12.218,70,2,20,>>>>>,>,1,slash,slash,1,417.0,0.2,1.389
2025-10-10T08:42:13.832,71,2,21,<<><<,>,0,slash,lshift,0,382.9,0.2,1.274
2025-10-10T08:42:15.613,72,2,22,>><>>,<,0,lshift,lshift,1,449.14,0.2,1.377
2025-10-10T08:42:17.246,73,2,23,>>>>>,>,1,slash,slash,1,382.49,0.2,1.242
2025-10-10T08:42:19.011,74,2,24,<<><<,>,0,slash,lshift,0,383.66,0.2,1.251
2025-10-10T08:42:20.694,75,2,25,>>>>>,>,1,slash,slash,1,383.54,0.2,1.253
2025-10-10T08:42:22.425,76,2,26,<<><<,>,0,slash,lshift,0,382.45,0.2,1.204
2025-10-10T08:42:24.206,77,2,27,<<<<<,<,1,lshift,lshift,1,515.21,0.2,1.328
2025-10-10T08:42:25.905,78,2,28,<<><<,>,0,slash,slash,1,465.7,0.2,1.304
2025-10-10T08:42:27.621,79,2,29,>>>>>,>,1,slash,slash,1,383.19,0.2,1.235
2025-10-10T08:42:29.302,80,2,30,>>>>>,>,1,slash,slash,1,366.12,0.2,1.214
2025-10-10T08:42:31.167,81,2,31,>><>>,<,0,lshift,lshift,1,466.36,0.2,1.204
2025-10-10T08:42:32.799,82,2,32,>>>>>,>,1,slash,slash,1,382.67,0.2,1.336
2025-10-10T08:42:34.565,83,2,33,>>>>>,>,1,slash,slash,1,349.84,0.2,1.319
2025-10-10T08:42:36.329,84,2,34,>><>>,<,0,lshift,slash,0,414.41,0.2,1.277
2025-10-10T08:42:38.110,85,2,35,<<<<<,<,1,lshift,lshift,1,399.57,0.2,1.395
2025-10-10T08:42:39.827,86,2,36,>>>>>,>,1,slash,slash,1,366.24,0.2,1.309
2025-10-10T08:42:41.525,87,2,37,>>>>>,>,1,slash,slash,1,365.69,0.2,1.351
2025-10-10T08:42:43.389,88,2,38,>><>>,<,0,lshift,lshift,1,466.28,0.2,1.292
2025-10-10T08:42:45.138,89,2,39,<<><<,>,0,slash,slash,1,399.52,0.2,1.243
2025-10-10T08:42:46.854,90,2,40,>>>>>,>,1,slash,slash,1,334.26,0.2,1.37
2025-10-10T08:42:48.668,91,2,41,<<<<<,<,1,lshift,lshift,1,516.22,0.2,1.321
2025-10-10T08:42:50.334,92,2,42,<<><<,>,0,slash,slash,1,433.62,0.2,1.214
2025-10-10T08:42:52.166,93,2,43,<<><<,>,0,slash,lshift,0,399.46,0.2,1.393
2025-10-10T08:42:53.847,94,2,44,>>>>>,>,1,slash,slash,1,398.07,0.2,1.292
2025-10-10T08:42:55.563,95,2,45,<<<<<,<,1,lshift,lshift,1,366.26,0.2,1.219
2025-10-10T08:42:57.277,96,2,46,<<><<,>,0,slash,lshift,0,348.9,0.2,1.391
2025-10-10T08:42:58.942,97,2,47,<<<<<,<,1,lshift,lshift,1,432.93,0.2,1.26
2025-10-10T08:43:00.758,98,2,48,>><>>,<,0,lshift,lshift,1,432.77,0.2,1.291
2025-10-10T08:43:02.373,99,2,49,<<<<<,<,1,lshift,lshift,1,350.49,0.2,1.315
2025-10-10T08:43:04.005,100,2,50,<<><<,>,0,slash,lshift,0,348.5,0.2,1.384
2025-10-10T08:43:10.599,101,3,1,>>>>>,>,1,slash,slash,1,715.78,0.2,1.226
2025-10-10T08:43:12.382,102,3,2,<<><<,>,0,slash,slash,1,533.71,0.2,1.228
2025-10-10T08:43:14.197,103,3,3,<<<<<,<,1,lshift,lshift,1,433.24,0.2,1.303
2025-10-10T08:43:15.928,104,3,4,<<><<,>,0,slash,slash,1,466.14,0.2,1.274
2025-10-10T08:43:17.577,105,3,5,>>>>>,>,1,slash,slash,1,399.77,0.2,1.231
2025-10-10T08:43:19.358,106,3,6,>><>>,<,0,lshift,lshift,1,464.84,0.2,1.261
2025-10-10T08:43:21.158,107,3,7,>>>>>,>,1,slash,slash,1,399.16,0.2,1.244
2025-10-10T08:43:22.922,108,3,8,<<><<,>,0,slash,slash,1,466.45,0.2,1.297
2025-10-10T08:43:24.641,109,3,9,<<><<,>,0,slash,slash,1,419.85,0.2,1.262
2025-10-10T08:43:26.519,110,3,10,>><>>,<,0,lshift,lshift,1,500.47,0.2,1.326
2025-10-10T08:43:28.333,111,3,11,>>>>>,>,1,slash,slash,1,515.11,0.2,1.221
2025-10-10T08:43:30.082,112,3,12,>><>>,<,0,lshift,lshift,1,448.6,0.2,1.239
2025-10-10T08:43:31.864,113,3,13,<<<<<,<,1,lshift,lshift,1,431.59,0.2,1.216
2025-10-10T08:43:33.645,114,3,14,>>>>>,>,1,slash,slash,1,382.87,0.2,1.384
2025-10-10T08:43:35.396,115,3,15,<<><<,>,0,slash,lshift,0,383.53,0.2,1.369
2025-10-10T08:43:37.193,116,3,16,>><>>,<,0,lshift,lshift,1,500.1,0.2,1.332
2025-10-10T08:43:38.975,117,3,17,>>>>>,>,1,slash,slash,1,417.57,0.2,1.249
2025-10-10T08:43:40.790,118,3,18,<<><<,>,0,slash,slash,1,483.22,0.2,1.314
2025-10-10T08:43:42.588,119,3,19,>><>>,<,0,lshift,lshift,1,524.68,0.2,1.289
2025-10-10T08:43:44.286,120,3,20,<<<<<,<,1,lshift,lshift,1,465.06,0.2,1.204
2025-10-10T08:43:45.969,121,3,21,<<<<<,<,1,lshift,lshift,1,382.99,0.2,1.223
2025-10-10T08:43:47.666,122,3,22,<<<<<,<,1,lshift,lshift,1,465.99,0.2,1.247
2025-10-10T08:43:49.466,123,3,23,<<><<,>,0,slash,lshift,0,482.89,0.2,1.378
2025-10-10T08:43:51.314,124,3,24,>><>>,<,0,lshift,lshift,1,582.96,0.2,1.323
2025-10-10T08:43:53.179,125,3,25,>><>>,<,0,lshift,lshift,1,598.98,0.2,1.253
2025-10-10T08:43:55.027,126,3,26,>>>>>,>,1,slash,slash,1,549.82,0.2,1.355
2025-10-10T08:43:56.892,127,3,27,>><>>,<,0,lshift,lshift,1,449.84,0.2,1.21
2025-10-10T08:43:58.808,128,3,28,<<><<,>,0,slash,slash,1,516.73,0.2,1.213
2025-10-10T08:44:00.605,129,3,29,>>>>>,>,1,slash,slash,1,432.05,0.2,1.319
2025-10-10T08:44:02.421,130,3,30,<<<<<,<,1,lshift,lshift,1,399.68,0.2,1.384
2025-10-10T08:44:04.253,131,3,31,>>>>>,>,1,slash,slash,1,483.31,0.2,1.239
2025-10-10T08:44:05.952,132,3,32,>>>>>,>,1,slash,slash,1,417.4,0.2,1.208
2025-10-10T08:44:07.834,133,3,33,>><>>,<,0,lshift,lshift,1,500.59,0.2,1.354
2025-10-10T08:44:09.565,134,3,34,>>>>>,>,1,slash,slash,1,466.16,0.2,1.248
2025-10-10T08:44:11.479,135,3,35,<<><<,>,0,slash,slash,1,614.99,0.2,1.367
2025-10-10T08:44:13.412,136,3,36,<<><<,>,0,slash,slash,1,533.83,0.2,1.259
2025-10-10T08:44:15.078,137,3,37,>><>>,<,0,lshift,lshift,1,434.23,0.2,1.375
2025-10-10T08:44:16.842,138,3,38,>><>>,<,0,lshift,lshift,1,433.61,0.2,1.329
2025-10-10T08:44:18.640,139,3,39,<<<<<,<,1,lshift,lshift,1,416.61,0.2,1.316
2025-10-10T08:44:20.288,140,3,40,>>>>>,>,1,slash,slash,1,382.09,0.2,1.379
2025-10-10T08:44:21.955,141,3,41,<<<<<,<,1,lshift,lshift,1,383.15,0.2,1.29
2025-10-10T08:44:23.718,142,3,42,<<<<<,<,1,lshift,lshift,1,350.23,0.2,1.386
2025-10-10T08:44:25.400,143,3,43,<<><<,>,0,slash,slash,1,432.19,0.2,1.245
2025-10-10T08:44:27.099,144,3,44,>><>>,<,0,lshift,lshift,1,448.35,0.2,1.279
2025-10-10T08:44:28.863,145,3,45,<<><<,>,0,slash,slash,1,433.17,0.2,1.255
2025-10-10T08:44:30.630,146,3,46,<<><<,>,0,slash,slash,1,399.79,0.2,1.278
2025-10-10T08:44:32.444,147,3,47,<<<<<,<,1,lshift,lshift,1,399.67,0.2,1.22
2025-10-10T08:44:34.162,148,3,48,>>>>>,>,1,slash,slash,1,367.79,0.2,1.378
2025-10-10T08:44:36.091,149,3,49,<<<<<,<,1,lshift,lshift,1,515.03,0.2,1.387
2025-10-10T08:44:37.789,150,3,50,<<<<<,<,1,lshift,lshift,1,382.61,0.2,1.206
2025-10-10T08:44:42.852,151,4,1,>>>>>,>,1,slash,slash,1,349.7,0.2,1.362
2025-10-10T08:44:44.536,152,4,2,<<><<,>,0,slash,slash,1,451.77,0.2,1.399
2025-10-10T08:44:46.265,153,4,3,<<><<,>,0,slash,slash,1,416.5,0.2,1.361
2025-10-10T08:44:48.031,154,4,4,>><>>,<,0,lshift,lshift,1,449.47,0.2,1.367
