timestamp_iso,trial_index,image_file,class,scrambled,marker_code,resp_key,correct,rt_ms,stim_time_s,isi_s,shown_width_units,shown_height_units
2025-10-23T08:34:46.150,54,scrambled_car_31.jpg,car,1,171,left,1,578.71,0.3,1.29,0.7217,0.6
2025-10-23T08:34:47.663,55,scrambled_car_23.jpg,car,1,163,left,1,390.61,0.3,1.159,0.8904,0.6
2025-10-23T08:34:49.096,56,car_2.jpg,car,0,42,right,1,436.16,0.3,1.104,0.7893,0.6
2025-10-23T08:34:50.629,57,scrambled_car_16.jpg,car,1,156,left,1,540.56,0.3,1.218,0.9,0.6
2025-10-23T08:34:52.076,58,face_31.jpg,face,0,31,right,1,481.1,0.3,1.125,0.4351,0.6
2025-10-23T08:34:53.509,59,car_33.jpg,car,0,73,right,1,494.79,0.3,1.127,0.9016,0.6
2025-10-23T08:34:55.040,60,scrambled_car_22.jpg,car,1,162,left,1,640.93,0.3,1.206,0.7859,0.6
2025-10-23T08:34:56.538,61,face_32.jpg,face,0,32,right,1,475.77,0.3,1.177,0.5604,0.6
2025-10-23T08:34:58.005,62,scrambled_car_34.jpg,car,1,174,left,1,696.07,0.3,1.15,0.9049,0.6
2025-10-23T08:34:59.553,63,face_34.jpg,face,0,34,right,1,445.75,0.3,1.239,0.6326,0.6
2025-10-23T08:35:00.988,64,scrambled_car_40.jpg,car,1,180,left,1,477.28,0.3,1.127,1.0714,0.6
2025-10-23T08:35:02.451,65,car_29.jpg,car,0,69,right,1,442.19,0.3,1.156,0.9016,0.6
2025-10-23T08:35:04.015,66,scrambled_car_30.jpg,car,1,170,left,1,445.09,0.3,1.246,0.9016,0.6
2025-10-23T08:35:05.597,67,car_20.jpg,car,0,60,right,1,695.67,0.3,1.262,1.0714,0.6
2025-10-23T08:35:07.181,68,car_13.jpg,car,0,53,right,1,438.26,0.3,1.266,0.9216,0.6
2025-10-23T08:35:08.628,69,scrambled_face_6.jpg,face,1,106,left,1,480.28,0.3,1.12,0.506,0.6
2025-10-23T08:35:10.178,70,scrambled_face_31.jpg,face,1,131,left,1,376.83,0.3,1.225,0.4351,0.6
2025-10-23T08:35:11.778,71,car_23.jpg,car,0,63,right,1,414.17,0.3,1.256,0.8904,0.6
2025-10-23T08:35:13.373,72,scrambled_car_13.jpg,car,1,153,left,1,474.67,0.3,1.265,0.9216,0.6
2025-10-23T08:35:14.808,73,scrambled_face_19.jpg,face,1,119,left,1,428.33,0.3,1.117,0.5512,0.6
2025-10-23T08:35:16.272,74,face_29.jpg,face,0,29,right,1,427.18,0.3,1.152,0.6102,0.6
2025-10-23T08:35:17.805,75,scrambled_face_10.jpg,face,1,110,left,1,506.71,0.3,1.218,0.6,0.6
2025-10-23T08:35:19.335,76,car_28.jpg,car,0,68,right,1,643.67,0.3,1.212,0.9049,0.6
2025-10-23T08:35:20.850,77,face_18.jpg,face,0,18,right,1,527.78,0.3,1.194,0.5189,0.6
2025-10-23T08:35:22.431,78,face_24.jpg,face,0,24,right,1,445.15,0.3,1.267,0.5081,0.6
2025-10-23T08:35:24.014,79,scrambled_face_20.jpg,face,1,120,left,1,479.2,0.3,1.275,0.6168,0.6
2025-10-23T08:35:25.514,80,scrambled_car_12.jpg,car,1,152,left,1,396.2,0.3,1.193,0.7072,0.6
2025-10-23T08:35:26.962,81,car_16.jpg,car,0,56,right,1,409.7,0.3,1.131,0.9,0.6
2025-10-23T08:35:28.462,82,scrambled_car_18.jpg,car,1,158,left,1,509.39,0.3,1.181,1.0673,0.6
2025-10-23T08:35:29.877,83,scrambled_car_26.jpg,car,1,166,left,1,421.07,0.3,1.104,0.8,0.6
2025-10-23T08:35:31.458,84,face_17.jpg,face,0,17,right,1,375.78,0.3,1.26,0.583,0.6
2025-10-23T08:35:33.040,85,car_21.jpg,car,0,61,right,1,452.0,0.3,1.262,0.9506,0.6
2025-10-23T08:35:34.641,86,face_23.jpg,face,0,23,right,1,427.96,0.3,1.284,0.4896,0.6
2025-10-23T08:35:36.104,87,scrambled_face_26.jpg,face,1,126,left,1,452.5,0.3,1.145,0.5222,0.6
2025-10-23T08:35:37.570,88,face_2.jpg,face,0,2,right,1,473.7,0.3,1.142,0.5014,0.6
2025-10-23T08:35:39.052,89,scrambled_face_28.jpg,face,1,128,left,1,412.46,0.3,1.163,0.5797,0.6
2025-10-23T08:35:40.617,90,scrambled_face_14.jpg,face,1,114,left,1,429.09,0.3,1.247,0.5888,0.6
2025-10-23T08:35:42.165,91,car_40.jpg,car,0,80,right,1,446.99,0.3,1.244,1.0714,0.6
2025-10-23T08:35:43.748,92,scrambled_face_15.jpg,face,1,115,left,1,376.57,0.3,1.268,0.5347,0.6
2025-10-23T08:35:45.280,93,car_35.jpg,car,0,75,right,1,431.37,0.3,1.2,0.9009,0.6
2025-10-23T08:35:46.795,94,scrambled_car_11.jpg,car,1,151,left,1,461.55,0.3,1.198,0.7038,0.6
2025-10-23T08:35:48.361,95,scrambled_car_32.jpg,car,1,172,left,1,378.27,0.3,1.247,0.8514,0.6
2025-10-23T08:35:49.909,96,scrambled_face_25.jpg,face,1,125,left,1,374.17,0.3,1.233,0.4604,0.6
2025-10-23T08:35:51.490,97,scrambled_car_25.jpg,car,1,165,left,1,409.44,0.3,1.258,0.7682,0.6
2025-10-23T08:35:52.907,98,face_16.jpg,face,0,16,right,1,428.82,0.3,1.105,0.5946,0.6
2025-10-23T08:35:54.389,99,face_19.jpg,face,0,19,left,0,394.92,0.3,1.161,0.5512,0.6
2025-10-23T08:35:55.855,100,scrambled_car_35.jpg,car,1,175,left,1,338.17,0.3,1.125,0.9009,0.6
2025-10-23T08:35:57.437,101,scrambled_face_24.jpg,face,1,124,left,1,476.41,0.3,1.273,0.5081,0.6
2025-10-23T08:35:58.869,102,car_1.jpg,car,0,41,right,1,438.23,0.3,1.118,0.8686,0.6
2025-10-23T08:36:00.383,103,scrambled_car_10.jpg,car,1,150,left,1,428.9,0.3,1.194,0.8476,0.6
2025-10-23T08:36:01.932,104,car_34.jpg,car,0,74,right,1,413.47,0.3,1.232,0.9049,0.6
2025-10-23T08:36:03.414,105,car_12.jpg,car,0,52,right,1,429.13,0.3,1.163,0.7072,0.6
2025-10-23T08:36:04.863,106,scrambled_face_4.jpg,face,1,104,left,1,523.31,0.3,1.128,0.5338,0.6
2025-10-23T08:36:06.378,107,scrambled_car_8.jpg,car,1,148,left,1,377.52,0.3,1.195,0.6,0.6
2025-10-23T08:36:07.927,108,scrambled_face_2.jpg,face,1,102,left,1,484.12,0.3,1.217,0.5014,0.6
2025-10-23T08:36:09.342,109,scrambled_face_32.jpg,face,1,132,left,1,391.51,0.3,1.104,0.5604,0.6
2025-10-23T08:36:10.841,110,car_25.jpg,car,0,65,left,0,356.81,0.3,1.183,0.7682,0.6
2025-10-23T08:36:12.356,111,scrambled_face_11.jpg,face,1,111,left,1,727.99,0.3,1.205,0.5976,0.6
2025-10-23T08:36:13.789,112,car_27.jpg,car,0,67,right,1,422.26,0.3,1.121,0.8681,0.6
2025-10-23T08:36:15.389,113,scrambled_car_15.jpg,car,1,155,left,1,491.71,0.3,1.288,0.8192,0.6
2025-10-23T08:36:16.835,114,scrambled_face_9.jpg,face,1,109,left,1,510.76,0.3,1.133,0.5685,0.6
2025-10-23T08:36:18.433,115,scrambled_face_1.jpg,face,1,101,left,1,386.54,0.3,1.284,0.5889,0.6
2025-10-23T08:36:19.967,116,scrambled_face_17.jpg,face,1,117,left,1,412.18,0.3,1.217,0.583,0.6
2025-10-23T08:36:21.465,117,scrambled_face_39.jpg,face,1,139,left,1,374.77,0.3,1.18,0.5684,0.6
2025-10-23T08:36:23.063,118,car_6.jpg,car,0,46,right,1,522.57,0.3,1.269,0.8,0.6
2025-10-23T08:36:24.546,119,car_36.jpg,car,0,76,right,1,412.72,0.3,1.17,0.9574,0.6
2025-10-23T08:36:25.979,120,car_15.jpg,car,0,55,right,1,392.52,0.3,1.111,0.8192,0.6
2025-10-23T08:36:27.544,121,face_11.jpg,face,0,11,right,1,328.91,0.3,1.241,0.5976,0.6
2025-10-23T08:36:29.092,122,scrambled_car_6.jpg,car,1,146,right,0,404.8,0.3,1.211,0.8,0.6
2025-10-23T08:36:30.573,123,car_14.jpg,car,0,54,right,1,429.52,0.3,1.176,0.801,0.6
2025-10-23T08:36:32.175,124,face_7.jpg,face,0,7,right,1,457.89,0.3,1.287,0.5797,0.6
2025-10-23T08:36:33.787,125,car_22.jpg,car,0,62,right,1,455.75,0.3,1.28,0.7859,0.6
2025-10-23T08:36:35.254,126,face_10.jpg,face,0,10,right,1,475.76,0.3,1.144,0.6,0.6
2025-10-23T08:36:36.851,127,car_26.jpg,car,0,66,right,1,436.84,0.3,1.285,0.8,0.6
2025-10-23T08:36:38.266,128,face_15.jpg,face,0,15,right,1,394.13,0.3,1.105,0.5347,0.6
2025-10-23T08:36:39.699,129,face_13.jpg,face,0,13,right,1,427.86,0.3,1.125,0.577,0.6
2025-10-23T08:36:41.230,130,face_8.jpg,face,0,8,right,1,361.85,0.3,1.211,0.5742,0.6
2025-10-23T08:36:42.812,131,scrambled_face_21.jpg,face,1,121,left,1,446.65,0.3,1.258,0.6422,0.6
2025-10-23T08:36:44.244,132,car_31.jpg,car,0,71,left,0,468.21,0.3,1.109,0.7217,0.6
2025-10-23T08:36:45.760,133,scrambled_face_35.jpg,face,1,135,left,1,486.56,0.3,1.184,0.5362,0.6
2025-10-23T08:36:47.292,134,scrambled_face_3.jpg,face,1,103,left,1,447.38,0.3,1.201,0.5449,0.6
2025-10-23T08:36:48.892,135,scrambled_face_7.jpg,face,1,107,left,1,404.11,0.3,1.274,0.5797,0.6
2025-10-23T08:36:50.423,136,scrambled_face_13.jpg,face,1,113,left,1,427.4,0.3,1.217,0.577,0.6
2025-10-23T08:36:51.889,137,scrambled_face_30.jpg,face,1,130,left,1,387.2,0.3,1.146,0.6395,0.6
2025-10-23T08:36:53.339,138,scrambled_face_27.jpg,face,1,127,left,1,393.95,0.3,1.144,0.5588,0.6
2025-10-23T08:36:54.853,139,face_14.jpg,face,0,14,right,1,461.18,0.3,1.197,0.5888,0.6
2025-10-23T08:36:56.351,140,scrambled_car_20.jpg,car,1,160,left,1,626.49,0.3,1.176,1.0714,0.6
2025-10-23T08:36:57.833,141,scrambled_car_9.jpg,car,1,149,left,1,379.05,0.3,1.164,0.7114,0.6
2025-10-23T08:36:59.415,142,car_9.jpg,car,0,49,right,1,377.68,0.3,1.271,0.7114,0.6
2025-10-23T08:37:00.930,143,face_1.jpg,face,0,1,right,1,405.49,0.3,1.198,0.5889,0.6
2025-10-23T08:37:02.413,144,car_8.jpg,car,0,48,right,1,345.44,0.3,1.171,0.6,0.6
2025-10-23T08:37:03.913,145,scrambled_car_4.jpg,car,1,144,left,1,505.06,0.3,1.177,0.862,0.6
2025-10-23T08:37:05.359,146,face_39.jpg,face,0,39,right,1,441.95,0.3,1.135,0.5684,0.6
2025-10-23T08:37:06.892,147,scrambled_car_2.jpg,car,1,142,left,1,527.86,0.3,1.224,0.7893,0.6
2025-10-23T08:37:08.507,148,face_22.jpg,face,0,22,right,1,495.91,0.3,1.295,0.5139,0.6
2025-10-23T08:37:09.957,149,scrambled_car_24.jpg,car,1,164,left,1,511.7,0.3,1.138,0.9966,0.6
2025-10-23T08:37:11.570,150,scrambled_face_8.jpg,face,1,108,left,1,441.78,0.3,1.299,0.5742,0.6
2025-10-23T08:37:13.138,151,scrambled_face_34.jpg,face,1,134,left,1,409.33,0.3,1.256,0.6326,0.6
2025-10-23T08:37:14.717,152,face_12.jpg,face,0,12,right,1,508.05,0.3,1.263,0.631,0.6
2025-10-23T08:37:16.266,153,car_10.jpg,car,0,50,right,1,448.2,0.3,1.234,0.8476,0.6
2025-10-23T08:37:17.750,154,face_9.jpg,face,0,9,right,1,411.18,0.3,1.164,0.5685,0.6
2025-10-23T08:37:19.316,155,face_27.jpg,face,0,27,right,1,413.18,0.3,1.25,0.5588,0.6
2025-10-23T08:37:20.929,156,scrambled_face_12.jpg,face,1,112,left,1,491.94,0.3,1.293,0.631,0.6
2025-10-23T08:37:22.511,157,scrambled_car_21.jpg,car,1,161,left,1,377.73,0.3,1.251,0.9506,0.6
2025-10-23T08:37:24.043,158,face_21.jpg,face,0,21,right,1,391.96,0.3,1.2,0.6422,0.6
2025-10-23T08:37:25.593,159,car_18.jpg,car,0,58,right,1,478.74,0.3,1.231,1.0673,0.6
2025-10-23T08:37:27.157,160,face_40.jpg,face,0,40,right,1,454.56,0.3,1.244,0.488,0.6
